# CRaTER (GCR+SEP) dose rates for individual and combined detectors
#    from 2020-12-31 DOY:366
# through 2021-12-31 DOY:365
#
# Columns are separated by a tab character.
# All dose rate units: cGy / day
# All dose rates have a silicon to water correction applied and are altitude corrected to the lunar surface.
#
# column_titles: Julian Date,Year,DOY,Year Fraction,H2O Factor,Altitude Factor,Good Event Factor,D1&2 dose rate,D3&4 dose rate,D5&6 dose rate,D1 dose rate,D2 dose rate,D3 dose rate,D4 dose rate,D5 dose rate,D6 dose rate
# column_units: ,,,,,,,cGy/day,cGy/day,cGy/day,cGy/day,cGy/day,cGy/day,cGy/day,cGy/day,cGy/day
# start_year: 2020
# start_doy: 366
# end_year: 2021
# end_doy: 365
#
# Julian Date	Year	DOY	Year Fraction	H2O	Alt.	GE	D1&2 dose rate	D3&4 dose rate	D5&6 dose rate	D1 dose rate	D2 dose rate	D3 dose rate	D4 dose rate	D5 dose rate	D6 dose rate
2459216.145833	2021	1	2021.0017694	1.333	0.782	1.000	3.2457e-02	3.0821e-02	2.9835e-02	1.7135e-02	2.8191e-02	1.5471e-02	2.7830e-02	1.4240e-02	2.7823e-02
2459216.187500	2021	1	2021.0018836	1.333	0.741	1.000	3.1937e-02	3.0296e-02	2.9871e-02	1.7322e-02	2.7884e-02	1.5421e-02	2.6961e-02	1.4899e-02	2.7162e-02
2459216.229166	2021	1	2021.0019977	1.333	0.781	1.000	3.1663e-02	3.1293e-02	3.1923e-02	1.6454e-02	2.8616e-02	1.5803e-02	2.7923e-02	1.6239e-02	2.8497e-02
2459216.270833	2021	1	2021.0021119	1.333	0.741	1.000	3.2365e-02	3.0338e-02	2.9782e-02	1.7413e-02	2.8011e-02	1.5396e-02	2.7374e-02	1.4583e-02	2.7087e-02
2459216.312500	2021	1	2021.0022260	1.333	0.780	1.000	3.1518e-02	3.0986e-02	3.0616e-02	1.6350e-02	2.8357e-02	1.5928e-02	2.7216e-02	1.5162e-02	2.7998e-02
2459216.354166	2021	1	2021.0023402	1.333	0.742	1.000	3.2171e-02	3.2174e-02	3.1114e-02	1.7343e-02	2.8409e-02	1.7330e-02	2.7616e-02	1.5958e-02	2.7513e-02
2459216.395833	2021	1	2021.0024543	1.333	0.779	1.000	3.1294e-02	3.1848e-02	3.2536e-02	1.6036e-02	2.9144e-02	1.6620e-02	2.8165e-02	1.6808e-02	2.8513e-02
2459216.437500	2021	1	2021.0025685	1.333	0.743	1.000	3.1202e-02	3.0027e-02	3.1633e-02	1.6229e-02	2.8435e-02	1.5107e-02	2.6865e-02	1.6538e-02	2.7897e-02
2459216.479166	2021	1	2021.0026826	1.333	0.777	1.000	3.2135e-02	3.1373e-02	3.1890e-02	1.6993e-02	2.8269e-02	1.6041e-02	2.7673e-02	1.6153e-02	2.8401e-02
2459216.520833	2021	2	2021.0027968	1.333	0.745	1.000	3.2975e-02	3.2217e-02	3.0576e-02	1.8251e-02	2.7950e-02	1.7077e-02	2.7625e-02	1.5344e-02	2.8435e-02
2459216.562500	2021	2	2021.0029110	1.333	0.774	1.000	3.1468e-02	3.1381e-02	3.0788e-02	1.6276e-02	2.8259e-02	1.6043e-02	2.7715e-02	1.5332e-02	2.7972e-02
2459216.604166	2021	2	2021.0030251	1.333	0.746	1.000	3.1644e-02	2.9508e-02	3.1363e-02	1.6902e-02	2.8526e-02	1.4282e-02	2.7314e-02	1.6192e-02	2.7615e-02
2459216.645833	2021	2	2021.0031393	1.333	0.772	1.000	3.3240e-02	3.0805e-02	3.1217e-02	1.8075e-02	2.8626e-02	1.5691e-02	2.7407e-02	1.5566e-02	2.8261e-02
2459216.687500	2021	2	2021.0032534	1.333	0.749	1.000	3.1289e-02	3.3033e-02	3.1046e-02	1.6397e-02	2.8000e-02	1.8135e-02	2.7524e-02	1.5821e-02	2.8191e-02
2459216.729166	2021	2	2021.0033676	1.333	0.769	1.000	3.2978e-02	3.1254e-02	3.0890e-02	1.7874e-02	2.8310e-02	1.6083e-02	2.7769e-02	1.5542e-02	2.7623e-02
2459216.770833	2021	2	2021.0034817	1.333	0.751	1.000	3.2097e-02	3.1199e-02	3.1059e-02	1.7138e-02	2.8253e-02	1.6146e-02	2.7239e-02	1.5938e-02	2.7775e-02
2459216.812500	2021	2	2021.0035959	1.333	0.765	1.000	3.0673e-02	2.9857e-02	3.0277e-02	1.5680e-02	2.7912e-02	1.4817e-02	2.7512e-02	1.4935e-02	2.7292e-02
2459216.854166	2021	2	2021.0037100	1.333	0.754	1.000	3.1772e-02	2.9129e-02	3.0734e-02	1.6763e-02	2.8228e-02	1.4218e-02	2.6768e-02	1.5354e-02	2.7912e-02
2459216.895833	2021	2	2021.0038242	1.333	0.762	1.000	3.3473e-02	3.2432e-02	3.0404e-02	1.8455e-02	2.8307e-02	1.7548e-02	2.7580e-02	1.5074e-02	2.7765e-02
2459216.937500	2021	2	2021.0039384	1.333	0.757	1.000	3.1754e-02	3.1291e-02	3.1073e-02	1.7131e-02	2.8299e-02	1.6341e-02	2.7419e-02	1.5687e-02	2.7596e-02
2459216.979166	2021	2	2021.0040525	1.333	0.759	1.000	3.2620e-02	3.1029e-02	3.1590e-02	1.7741e-02	2.7914e-02	1.6031e-02	2.7244e-02	1.6357e-02	2.7977e-02
2459217.020833	2021	2	2021.0041667	1.333	0.760	1.000	3.2604e-02	3.1293e-02	3.1096e-02	1.7639e-02	2.8361e-02	1.6114e-02	2.7892e-02	1.5761e-02	2.8242e-02
2459217.062500	2021	2	2021.0042808	1.333	0.756	1.000	3.1239e-02	3.1550e-02	3.2375e-02	1.6306e-02	2.8017e-02	1.6406e-02	2.6969e-02	1.7152e-02	2.8219e-02
2459217.104166	2021	2	2021.0043950	1.333	0.763	1.000	3.1623e-02	3.0866e-02	3.0978e-02	1.6502e-02	2.8161e-02	1.5864e-02	2.7086e-02	1.5482e-02	2.8209e-02
2459217.145833	2021	2	2021.0045091	1.333	0.754	1.000	3.2135e-02	3.1248e-02	2.9745e-02	1.7216e-02	2.7999e-02	1.6238e-02	2.7546e-02	1.4449e-02	2.7388e-02
2459217.187500	2021	2	2021.0046233	1.333	0.766	1.000	3.3136e-02	3.0479e-02	3.1549e-02	1.8229e-02	2.8338e-02	1.5160e-02	2.7052e-02	1.6097e-02	2.7899e-02
2459217.229166	2021	2	2021.0047374	1.333	0.751	1.000	3.2343e-02	3.0768e-02	3.2367e-02	1.7454e-02	2.8323e-02	1.5727e-02	2.7525e-02	1.7325e-02	2.7625e-02
2459217.270833	2021	2	2021.0048516	1.333	0.769	1.000	3.3683e-02	3.1293e-02	3.2814e-02	1.8267e-02	2.8853e-02	1.6040e-02	2.7913e-02	1.6964e-02	2.8312e-02
2459217.312500	2021	2	2021.0049658	1.333	0.749	1.000	3.0956e-02	3.0235e-02	3.0266e-02	1.6083e-02	2.7868e-02	1.5374e-02	2.7041e-02	1.5106e-02	2.7675e-02
2459217.354166	2021	2	2021.0050799	1.333	0.771	1.000	3.3529e-02	3.1861e-02	3.2619e-02	1.8355e-02	2.8507e-02	1.6576e-02	2.7701e-02	1.7145e-02	2.8701e-02
2459217.395833	2021	2	2021.0051941	1.333	0.747	1.000	3.3887e-02	3.1189e-02	3.2890e-02	1.8892e-02	2.8219e-02	1.6506e-02	2.7110e-02	1.7786e-02	2.7956e-02
2459217.437500	2021	2	2021.0053082	1.333	0.773	1.000	3.1949e-02	3.0571e-02	3.0772e-02	1.6836e-02	2.8281e-02	1.5356e-02	2.8027e-02	1.5158e-02	2.7983e-02
2459217.479166	2021	2	2021.0054224	1.333	0.746	1.000	3.1318e-02	3.0112e-02	3.2415e-02	1.6447e-02	2.8336e-02	1.4940e-02	2.6910e-02	1.7111e-02	2.8082e-02
2459217.520833	2021	3	2021.0055365	1.333	0.775	1.000	3.2021e-02	3.0336e-02	3.1972e-02	1.7099e-02	2.8657e-02	1.5243e-02	2.7873e-02	1.6212e-02	2.8737e-02
2459217.562500	2021	3	2021.0056507	1.333	0.744	1.000	2.9875e-02	3.0575e-02	3.1271e-02	1.5048e-02	2.7714e-02	1.5749e-02	2.7051e-02	1.6056e-02	2.7437e-02
2459217.604166	2021	3	2021.0057648	1.333	0.777	1.000	3.3262e-02	3.0807e-02	3.2874e-02	1.8100e-02	2.8849e-02	1.5433e-02	2.7810e-02	1.7106e-02	2.8495e-02
2459217.645833	2021	3	2021.0058790	1.333	0.744	1.000	3.1499e-02	3.0885e-02	3.1085e-02	1.6546e-02	2.8079e-02	1.6206e-02	2.7534e-02	1.6091e-02	2.7369e-02
2459217.687500	2021	3	2021.0059932	1.333	0.778	1.000	3.4057e-02	3.1214e-02	3.2451e-02	1.8829e-02	2.8838e-02	1.5962e-02	2.7974e-02	1.7124e-02	2.7940e-02
2459217.729166	2021	3	2021.0061073	1.333	0.743	1.000	3.1537e-02	3.0070e-02	3.1063e-02	1.6647e-02	2.8575e-02	1.5240e-02	2.7014e-02	1.5697e-02	2.7903e-02
2459217.770833	2021	3	2021.0062215	1.333	0.778	1.000	3.1749e-02	3.3179e-02	3.1785e-02	1.6362e-02	2.8381e-02	1.7699e-02	2.8307e-02	1.6046e-02	2.8315e-02
2459217.812500	2021	3	2021.0063356	1.333	0.743	1.000	3.2353e-02	3.1960e-02	3.0717e-02	1.7600e-02	2.8168e-02	1.6984e-02	2.7624e-02	1.5359e-02	2.7799e-02
2459217.854166	2021	3	2021.0064498	1.333	0.779	1.000	3.4201e-02	3.2260e-02	3.0157e-02	1.9023e-02	2.8873e-02	1.6912e-02	2.7873e-02	1.4400e-02	2.8313e-02
2459217.895833	2021	3	2021.0065639	1.333	0.743	1.000	3.0988e-02	3.1538e-02	3.0266e-02	1.6003e-02	2.7892e-02	1.6730e-02	2.6943e-02	1.4967e-02	2.7875e-02
