cobalto-a;;
Long. Onda (nm);Abs;
2391;0,7626643181;
2390;0,7625252008;
2389;0,7624230981;
2388;0,7627587914;
2387;0,7623037696;
2386;0,7629788518;
2385;0,7618979812;
2384;0,7621856928;
2383;0,7617269754;
2382;0,7621139884;
2381;0,7626307011;
2380;0,7621455789;
2379;0,7620078325;
2378;0,7628062367;
2377;0,7617256045;
2376;0,7622497678;
2375;0,7629344463;
2374;0,7623178959;
2373;0,7622826099;
2372;0,7618533373;
2371;0,7622646093;
2370;0,7620593309;
2369;0,7623947859;
2368;0,761921227;
2367;0,762111187;
2366;0,7628119588;
2365;0,7630409002;
2364;0,7624002099;
2363;0,7636569142;
2362;0,7624860406;
2361;0,7631013989;
2360;0,7631959915;
2359;0,7627206445;
2358;0,7632223368;
2357;0,7630292773;
2356;0,7639093399;
2355;0,7637263536;
2354;0,7626342773;
2353;0,7636933923;
2352;0,7632291913;
2351;0,7633354068;
2350;0,7633894682;
2349;0,763335824;
2348;0,7638340592;
2347;0,7630197406;
2346;0,7641128302;
2345;0,7632510066;
2344;0,7638421059;
2343;0,7641257048;
2342;0,7629358172;
2341;0,7638375163;
2340;0,7640603781;
2339;0,7633574009;
2338;0,7644053102;
2337;0,7636026144;
2336;0,763861537;
2335;0,7630473375;
2334;0,7644546628;
2333;0,7646920085;
2332;0,7644641399;
2331;0,7642223239;
2330;0,7642042637;
2329;0,7652357221;
2328;0,7649303079;
2327;0,7653599977;
2326;0,7656116486;
2325;0,7653747797;
2324;0,7662255168;
2323;0,7672049999;
2322;0,7672696114;
2321;0,7667999268;
2320;0,7680183053;
2319;0,7670140266;
2318;0,7682540417;
2317;0,7687712312;
2316;0,7694653273;
2315;0,7691761851;
2314;0,7686082125;
2313;0,769990921;
2312;0,7691972256;
2311;0,7687350512;
2310;0,7699882984;
2309;0,7691274881;
2308;0,7700642347;
2307;0,7701981068;
2306;0,7684932947;
2305;0,7701054215;
2304;0,769613564;
2303;0,7692396045;
2302;0,7696392536;
2301;0,769963026;
2300;0,7705840468;
2299;0,7687886357;
2298;0,7685034871;
2297;0,7683843374;
2296;0,7688429356;
2295;0,7697062492;
2294;0,7676691413;
2293;0,767634511;
2292;0,7685384154;
2291;0,7676208615;
2290;0,7693128586;
2289;0,7690697312;
2288;0,770072937;
2287;0,7693152428;
2286;0,7684412599;
2285;0,7714983225;
2284;0,7703019381;
2283;0,7687946558;
2282;0,7671357393;
2281;0,7699175477;
2280;0,7689011693;
2279;0,7680910826;
2278;0,7703447938;
2277;0,7684472799;
2276;0,7683244944;
2275;0,771676302;
2274;0,7680716515;
2273;0,7672578096;
2272;0,7697787881;
2271;0,7696499228;
2270;0,7687103152;
2269;0,7658287287;
2268;0,7688365579;
2267;0,7686085105;
2266;0,767749846;
2265;0,7688710093;
2264;0,7686231732;
2263;0,7655394673;
2262;0,7674717307;
2261;0,7680370808;
2260;0,7685402036;
2259;0,7685133219;
2258;0,7676044703;
2257;0,7686125636;
2256;0,767143786;
2255;0,767572701;
2254;0,7670440078;
2253;0,7686750889;
2252;0,7690221667;
2251;0,7664105296;
2250;0,7664715648;
2249;0,7666144371;
2248;0,7694198489;
2247;0,767024219;
2246;0,7680313587;
2245;0,7673630714;
2244;0,7687075734;
2243;0,7667484879;
2242;0,7681074739;
2241;0,7669062018;
2240;0,7685230374;
2239;0,7674960494;
2238;0,7678037882;
2237;0,7684174776;
2236;0,7677575946;
2235;0,7693366408;
2234;0,7702070475;
2233;0,7692022324;
2232;0,7682859302;
2231;0,768718183;
2230;0,770716548;
2229;0,7693232298;
2228;0,769353807;
2227;0,7690599561;
2226;0,7691529393;
2225;0,771278441;
2224;0,7701606154;
2223;0,7675513029;
2222;0,7689710259;
2221;0,7705600262;
2220;0,7705283165;
2219;0,7715358734;
2218;0,7697029114;
2217;0,7707701325;
2216;0,7712336779;
2215;0,7699128389;
2214;0,7686450481;
2213;0,7697927356;
2212;0,7688792348;
2211;0,7690626979;
2210;0,7674281001;
2209;0,7676559687;
2208;0,7689517736;
2207;0,7686693668;
