cobalto;;
Long. Onda (nm);%R;
2362;17,54304504;
2361;17,55409622;
2360;17,56642532;
2359;17,57040024;
2358;17,56720924;
2357;17,5734787;
2356;17,56848335;
2355;17,5708046;
2354;17,59963799;
2353;17,57596588;
2352;17,58096886;
2351;17,60161591;
2350;17,60392761;
2349;17,60865974;
2348;17,61637306;
2347;17,62124252;
2346;17,61661339;
2345;17,61967087;
2344;17,61504936;
2343;17,60363007;
2342;17,61423111;
2341;17,61701584;
2340;17,60032272;
2339;17,61093712;
2338;17,63020515;
2337;17,62935066;
2336;17,6487484;
2335;17,63825989;
2334;17,62601852;
2333;17,64178848;
2332;17,66551208;
2331;17,6352787;
2330;17,67869949;
2329;17,66321754;
2328;17,65585136;
2327;17,71946144;
2326;17,70011711;
2325;17,7316761;
2324;17,72101212;
2323;17,75615501;
2322;17,73031044;
2321;17,74141693;
2320;17,75826836;
2319;17,76592636;
2318;17,7481575;
2317;17,76038361;
2316;17,7508049;
2315;17,77419662;
2314;17,69309998;
2313;17,74209213;
2312;17,73841476;
2311;17,72797775;
2310;17,72708893;
2309;17,75725746;
2308;17,67636299;
2307;17,74434662;
2306;17,7430954;
2305;17,75501633;
2304;17,65397453;
2303;17,65429878;
2302;17,68192863;
2301;17,677248;
2300;17,67207146;
2299;17,63884544;
2298;17,64561462;
2297;17,64682198;
2296;17,62709236;
2295;17,57584953;
2294;17,69083786;
2293;17,62539673;
2292;17,62469864;
2291;17,5933609;
2290;17,56568909;
2289;17,62319756;
2288;17,6382103;
2287;17,57556915;
2286;17,64579391;
2285;17,5393219;
2284;17,63768768;
2283;17,57312775;
2282;17,53406906;
2281;17,47796822;
2280;17,51716805;
2279;17,49209023;
2278;17,39404869;
2277;17,45969009;
2276;17,45465088;
2275;17,41170502;
2274;17,42336082;
2273;17,40724564;
2272;17,42381096;
2271;17,43966866;
2270;17,31965637;
2269;17,34341621;
2268;17,28658676;
2267;17,34213638;
2266;17,21447372;
2265;17,30102158;
2264;17,2288208;
2263;17,2955265;
2262;17,26612282;
2261;17,2079525;
2260;17,15651512;
2259;17,20402336;
2258;17,15642738;
2257;17,21040154;
2256;17,12671852;
2255;17,23926163;
2254;17,12434959;
2253;17,19805336;
2252;17,17260742;
2251;17,07431412;
2250;17,21967125;
2249;17,14440727;
2248;17,10920334;
2247;17,12337112;
2246;17,16182899;
2245;17,09324646;
2244;17,09305763;
2243;17,15338707;
2242;17,06984711;
2241;17,09314156;
2240;17,06473923;
2239;17,11368942;
2238;17,1304245;
2237;17,12698174;
2236;17,07394028;
2235;17,1776123;
2234;17,14986801;
2233;17,15346718;
2232;17,17437553;
2231;17,16704369;
2230;17,12949562;
2229;17,15916252;
2228;17,1297226;
2227;17,08641815;
2226;17,13547325;
2225;17,1876812;
2224;17,19010544;
2223;17,16828728;
2222;17,18889809;
2221;17,1190815;
2220;17,14485359;
2219;17,14775658;
2218;17,132864;
2217;17,11120033;
2216;17,12683105;
2215;17,12299156;
2214;17,11712837;
2213;17,13756943;
2212;17,09630585;
2211;17,11224174;
2210;17,16123009;
2209;17,12265205;
2208;17,11565781;
2207;17,12942696;
2206;17,14464951;
2205;17,14847565;
2204;17,15312958;
2203;17,17359924;
2202;17,19548798;
2201;17,20082092;
2200;17,21004868;
2199;17,27517509;
2198;17,29142952;
2197;17,34913254;
2196;17,34042549;
2195;17,40635109;
2194;17,44062805;
2193;17,48729897;
2192;17,58946228;
2191;17,6102562;
2190;17,58932877;
2189;17,65723419;
2188;17,70448112;
2187;17,74821281;
2186;17,7771492;
2185;17,73348808;
2184;17,80841064;
2183;17,78197479;
2182;17,77890396;
2181;17,75895119;
2180;17,78821564;
2179;17,70978928;
2178;17,76911736;
2177;17,74568176;
2176;17,72507858;
2175;17,77437973;
2174;17,70951462;
2173;17,72677231;
2172;17,69239044;
2171;17,66396904;
2170;17,71651649;
2169;17,62058258;
2168;17,62904549;
2167;17,59878731;
2166;17,62171173;
2165;17,67650604;
2164;17,64816856;
2163;17,67709923;
2162;17,67463684;
2161;17,5984726;
2160;17,6792984;
2159;17,66679382;
2158;17,65104485;
2157;17,6769352;
2156;17,69289017;
2155;17,65925026;
2154;17,66135406;
2153;17,64412308;
2152;17,65455437;
2151;17,72665215;
2150;17,67392921;
2149;17,6997757;
2148;17,63501549;
2147;17,73572922;
2146;17,66519928;
2145;17,71690559;
2144;17,73897362;
2143;17,68668938;
2142;17,71285629;
2141;17,70723152;
2140;17,64849663;
2139;17,71957588;
2138;17,69823647;
2137;17,64865303;
2136;17,63527107;
2135;17,69289589;
2134;17,7357235;
2133;17,66954422;
2132;17,67499542;
2131;17,68964005;
2130;17,60590363;
2129;17,64954567;
2128;17,69085884;
2127;17,66021538;
2126;17,60605812;
2125;17,6148243;
2124;17,63228607;
2123;17,59921074;
2122;17,57404327;
2121;17,57498741;
2120;17,64024353;
2119;17,58411026;
2118;17,65036392;
2117;17,60342216;
2116;17,62015533;
2115;17,57046509;
2114;17,5943203;
2113;17,55280113;
2112;17,54239464;
2111;17,56608391;
2110;17,54856873;
2109;17,54310226;
2108;17,52256012;
2107;17,58812332;
2106;17,51717567;
2105;17,55168915;
2104;17,52961922;
2103;17,55080414;
2102;17,55380249;
2101;17,50672531;
2100;17,52249527;
2099;17,54827118;
2098;17,49946976;
2097;17,5537281;
2096;17,54629135;
2095;17,51995659;
2094;17,48010635;
2093;17,51311302;
2092;17,51163101;
2091;17,50401878;
2090;17,54170799;
2089;17,48583412;
2088;17,49820709;
2087;17,49860001;
