"A_x","A_y","B_x","B_y","C_x","C_y","AB_x","AB_y","ABCD_x","ABCD_y"
115.2838964,83290,115.2838964,102813,115.2838964,0,115.2838964,3341,115.2838964,0,
120.2901726,82638,120.2901726,102385,120.2901726,0,120.2901726,3238,120.2901726,0,
125.2839236,82753,125.2839236,102034,125.2839236,0,125.2839236,3332,125.2839236,0,
130.2832491,83119,130.2832491,102079,130.2832491,0,130.2832491,3326,130.2832491,0,
135.2834432,82736,135.2834432,101463,135.2834432,0,135.2834432,3393,135.2834432,0,
140.3169656,83590,140.3169656,102455,140.3169656,0,140.3169656,3341,140.3169656,0,
145.2832694,83458,145.2832694,103066,145.2832694,0,145.2832694,3344,145.2832694,0,
150.3086209,84755,150.3086209,105454,150.3086209,0,150.3086209,3271,150.3086209,0,
155.3070176,84212,155.3070176,104692,155.3070176,0,155.3070176,3369,155.3070176,0,
160.3247817,84105,160.3247817,104141,160.3247817,0,160.3247817,3329,160.3247817,0,
165.3343048,84033,165.3343048,103812,165.3343048,0,165.3343048,3346,165.3343048,0,
170.3336072,84178,170.3336072,103777,170.3336072,0,170.3336072,3412,170.3336072,0,
175.33392,83832,175.33392,104038,175.33392,0,175.33392,3297,175.33392,0,
222.8175616,83463,222.8175616,102953,222.8175616,0,222.8175616,3300,222.8175616,0,
227.8169391,84666,227.8169391,104976,227.8169391,0,227.8169391,3262,227.8169391,0,
232.8168821,85351,232.8168821,105557,232.8168821,0,232.8168821,3338,232.8168821,0,
237.8172982,85257,237.8172982,105602,237.8172982,0,237.8172982,3280,237.8172982,0,
242.8340807,84978,242.8340807,106011,242.8340807,0,242.8340807,3288,242.8340807,0,
247.8174195,85016,247.8174195,104792,247.8174195,0,247.8174195,3262,247.8174195,0,
351.7071464,92750,351.7071464,127730,351.7071464,0,351.7071464,3141,351.7071464,0,
356.7072721,252513,356.7072721,287691,356.7072721,0,356.7072721,3373,356.7072721,0,
361.7008743,130803,361.7008743,139023,361.7008743,0,361.7008743,3008,361.7008743,0,
