source_id,ra,dec,parallax,pmra,pmdec,ruwe,phot_g_mean_mag,bp_rp,radial_velocity,phot_variable_flag,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot
4471318412657504896,270.1865450506911,4.686990489663833,-0.5653381284108574,-4.202019315279506,-8.376470985033448,1.0872966,19.795229,1.0039291,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
4470877233617211136,274.5559319120293,5.599641217799499,0.2648455282335097,-2.472591763807684,-5.668070632644521,0.95812494,19.90957,1.0447121,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
4470877233617224704,274.5520370726205,5.604009292428504,-0.2006509528405797,4.153633002408421,3.58954237105767,1.040753,19.433414,0.89489174,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
4471523029202589312,273.12289217725777,5.057370034718668,0.39183779194940893,-2.155750139569241,-8.214817943767542,1.6755179,15.826855,1.196804,,"NOT_AVAILABLE",0,true,false,false,false,false,false,true,,,,,,,
4471523029202590080,273.1178375492208,5.05400661561785,-0.414067150543106,-2.8786040472331567,-8.164436611081367,1.0420288,19.24919,1.1001682,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
4471640780021870080,272.5540907592665,5.708659065147627,-0.577984666440177,-2.6738583609715176,-7.339626089999845,0.9884567,20.07349,1.014986,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
4471194889401927296,272.10670504207724,4.797401235947635,-0.29801812646206927,-3.2354553736099274,-2.420025572433117,0.9864329,19.264866,1.0287399,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
4471194889401930368,272.1009001124357,4.798028565318999,0.029293406650129868,-1.9430199825878383,-8.812676684067307,1.0193715,19.512064,1.0213337,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
4471658544001411968,273.41164030211576,5.561676172250065,0.981908545615685,-6.294956427380753,-0.8965101098221406,0.9816598,19.380224,2.3977528,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
4470902251811966592,273.61148773754206,5.433839112722884,,,,,20.83334,2.8778687,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
4470902251812430336,273.6139568313644,5.433942113941413,,,,,21.044815,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
4471207258903872128,272.29705556347477,5.086983448397798,0.9206268937334592,-0.6005331436994216,-10.889445903954178,1.0529151,19.941763,1.3925323,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
4471362569220955520,270.73811166979937,5.134629363490378,1.6330912389117078,-5.787742788504264,-10.045469482584496,1.0912955,19.508156,1.1120281,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
4471207263200851584,272.30513723725903,5.079994785042929,,,,,20.75902,1.6321392,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
4470910115890503936,273.7204978716483,5.5050580100739035,0.7183958974570809,-4.185985480138635,-5.463034108707313,1.0794669,19.831327,1.0314541,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
4471560751892642176,273.25701428960343,5.37934121009965,-0.23865250213861625,-4.526083146347178,-8.801544771767606,1.0263165,20.124203,1.1681099,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
4471570170758709504,272.8601280108486,5.394479213305091,-0.07329080392196646,-3.460376458712482,-5.630428303665124,1.0260432,20.30412,0.94584465,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
4471570170758712320,272.85422185112657,5.389120290937536,0.3356360105090014,-2.8504747886340733,-6.494800020428018,0.9386079,20.072344,0.877779,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
4471570170760632448,272.85830618246223,5.39471152147122,,,,,20.84069,1.6846561,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
4471387445671149440,271.549840413234,5.158677270997422,0.7028086495784338,-4.226489902963705,-4.804023594366576,1.0440159,20.618305,0.79716873,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
4471387445672974848,271.5486769641446,5.162606663752133,3.557495569826247,-0.7694148122958139,-9.31781576752201,2.1372924,16.718407,2.268386,,"NOT_AVAILABLE",0,true,false,false,false,false,false,true,,,,,,,
4471576527308218240,273.2424084848798,5.535853781660207,1.2245844967787274,1.2114170934623278,-5.9368084341667755,0.9960285,20.180458,1.3486309,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
4471576527308224512,273.23251885977265,5.530673366483246,,,,,20.875263,1.9091511,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
4471576527309395456,273.24571615221646,5.532298000452841,,,,,20.799906,1.1840935,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
4471251312381889792,270.56923038281917,4.488407144605991,-0.9567251003732431,-2.534980226724162,-4.720386114019772,1.0702013,20.227858,1.1401558,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
4471396649791367552,271.2159271631527,5.168827538950213,0.7418706189903522,-0.5299090219687324,-12.757798978913566,0.9347898,19.564312,1.3235512,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
